Title: The Aligned Orbit of WASP-148b, the Only Known Hot Jupiter with a Nearby
       Warm Jupiter Companion, from NEID and HIRES 
Authors: Wang, X.-Y., Rice, M., Wang, S., Pu, B., Stefánsson, G., Mahadevan, S.,
         Radzon, B., Giacalone, S., Wu, Z.-Y., Esposito, T. M., Dalba, P. A.,
         Avsar, A., Holden, B., Skiff, B., Polakis, T., Voeller, K., Logsdon, S. E.,
         Klusmeyer, J., Schweiker, H., Wu, D.-H., Beard, C., Dai, F., Lubin, J.,
         Weiss, L. M., Bender, C. F., Blake, C. H., Dressing, C. D., Halverson, S.,
         Hearty, F., Howard, A. W., Huber, D., Isaacson, H., Jackman, J. A. G.,
         Llama, J., McElwain, M. W., Rajagopal, J., Roy, A., Robertson, P.,
         Schwab, C., Shkolnik, E. L., Wright, J., & Laughlin, G. 
Figure: Photometric transit observations of WASP-148
================================================================================
Byte-by-byte Description of file: wasp148lcmrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1- 14 F14.6  d       BJD     Barcentric Julian Date; TBD
  16- 22 F6.5   m/s     NFlux   Normalized flux
  24- 30 F6.5   m/s   e_NFlux   Uncertainty in NFlux
  32- 44 A13    ---     Inst    Instrument used
--------------------------------------------------------------------------------
2459374.78142  1.0017  0.0031  42-inch Hall 
2459374.78170  0.9982  0.0031  42-inch Hall 
2459374.78198  1.0056  0.0031  42-inch Hall 
2459374.78226  1.0002  0.0031  42-inch Hall 
2459374.78253  0.9992  0.0031  42-inch Hall 
2459374.78281  1.0024  0.0031  42-inch Hall 
2459374.78309  1.0001  0.0031  42-inch Hall 
2459374.78337  0.9971  0.0031  42-inch Hall 
2459374.78365  1.0010  0.0031  42-inch Hall 
2459374.78393  0.9973  0.0031  42-inch Hall 
2459374.78421  1.0034  0.0031  42-inch Hall 
2459374.78448  1.0019  0.0031  42-inch Hall 
2459374.78476  0.9989  0.0031  42-inch Hall 
2459374.78504  0.9985  0.0031  42-inch Hall 
2459374.78532  1.0037  0.0031  42-inch Hall 
2459374.78560  0.9993  0.0031  42-inch Hall 
2459374.78588  0.9964  0.0031  42-inch Hall 
2459374.78616  0.9977  0.0031  42-inch Hall 
2459374.78643  1.0012  0.0031  42-inch Hall 
2459374.78671  1.0016  0.0031  42-inch Hall 
2459374.78699  1.0010  0.0031  42-inch Hall 
2459374.78727  0.9983  0.0031  42-inch Hall 
2459374.78755  1.0040  0.0031  42-inch Hall 
2459374.78783  1.0004  0.0031  42-inch Hall 
2459374.78811  1.0015  0.0031  42-inch Hall 
2459374.78866  1.0025  0.0031  42-inch Hall 
2459374.78894  1.0022  0.0031  42-inch Hall 
2459374.78922  1.0030  0.0031  42-inch Hall 
2459374.78950  1.0016  0.0031  42-inch Hall 
2459374.78978  1.0007  0.0031  42-inch Hall 
2459374.79005  1.0015  0.0031  42-inch Hall 
2459374.79033  1.0021  0.0031  42-inch Hall 
2459374.79061  1.0017  0.0031  42-inch Hall 
2459374.79089  1.0029  0.0031  42-inch Hall 
2459374.79117  1.0027  0.0031  42-inch Hall 
2459374.79145  0.9990  0.0031  42-inch Hall 
2459374.79173  0.9988  0.0031  42-inch Hall 
2459374.79201  0.9987  0.0031  42-inch Hall 
2459374.79228  0.9986  0.0031  42-inch Hall 
2459374.79256  1.0017  0.0031  42-inch Hall 
2459374.79284  1.0004  0.0031  42-inch Hall 
2459374.79312  1.0020  0.0031  42-inch Hall 
2459374.79340  0.9999  0.0031  42-inch Hall 
2459374.79368  1.0004  0.0031  42-inch Hall 
2459374.79395  1.0014  0.0031  42-inch Hall 
2459374.79423  0.9982  0.0031  42-inch Hall 
2459374.79451  0.9986  0.0031  42-inch Hall 
2459374.79479  1.0005  0.0031  42-inch Hall 
2459374.79507  0.9991  0.0031  42-inch Hall 
2459374.79535  0.9993  0.0031  42-inch Hall 
2459374.79563  1.0006  0.0031  42-inch Hall 
